;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family
3949;57083816-05;05;WHITE;T-TRICOT;Bottoms;Skirts
3950;57085147-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
3951;57087733-05;05;WHITE;J-JEANS;Bottoms;Jeans
3952;57017728-91;91;GREY;T-TRICOT;Tops;Sweater
3953;57047740-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
3954;57037746-35;35;BROWN;K-CIRCULAR;Tops;T-shirt
3955;57069083-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
3956;57023824-01;01;WHITE;T-TRICOT;Tops;Sweater
3957;57005834-85;85;PINK;T-TRICOT;Tops;Sweater
3958;43070802-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
3959;43095817-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
3960;53090547-01;01;WHITE;J-JEANS;Dresses, jumpsuits and Complete set;Dresses
3961;53080567-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
3962;53040628-50;50;BLUE;P-PLANA;Tops;Tops
3963;53073716-56;56;BLUE;P-PLANA;Tops;Shirt
3964;53060873-56;56;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
3965;53050722-28;28;ORANGE;K-CIRCULAR;Tops;T-shirt
3966;53000891-50;50;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
3967;53063037-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
3968;53063752-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
3969;53013769-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
3970;53031038-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
3971;53023748-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
3972;57054377-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
3973;57055921-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
3974;57087106-99;99;GREY;P-PLANA;Outerwear;Blazers
3975;67022505-85;85;PINK;T-TRICOT;Tops;Sweater
3976;47037720-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
3977;47065933-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
3978;47055852-99;99;GREY;K-CIRCULAR;Tops;T-shirt
3979;57020041-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
3980;57062506-01;01;WHITE;K-CIRCULAR;Tops;Tops
3981;57050177-52;52;BLUE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
3982;57010279-88;88;PINK;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
3983;57010316-02;02;WHITE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
3984;57012880-05;05;WHITE;J-JEANS;Bottoms;Jeans
3985;57085785-35;35;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Intimate
3986;57050437-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
3987;57085137-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
3988;57074008-56;56;BLUE;K-CIRCULAR;Bottoms;Trousers
3989;57003813-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
3990;57023813-70;70;RED;T-TRICOT;Tops;Sweater
3991;57091174-05;05;WHITE;J-JEANS;Bottoms;Skirts
3992;57046309-56;56;BLUE;T-TRICOT;Tops;Tops
3993;57025982-08;08;WHITE;K-CIRCULAR;Tops;T-shirt
3994;57055983-70;70;RED;P-PLANA;Tops;Shirt
3995;57036310-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
3996;57074433-05;05;WHITE;P-PLANA;Bottoms;Skirts
3997;57025979-99;99;GREY;K-CIRCULAR;Tops;Shirt
3998;57007743-65;65;PURPLE;T-TRICOT;Tops;Sweater
3999;57036018-56;56;BLUE;P-PLANA;Accesories, Swim and Intimate;Intimate
4000;57035808-30;30;BROWN;T-TRICOT;Tops;Cardigans
4001;57047740-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4002;43065789-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4003;51070647-70;70;RED;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4004;53060729-56;56;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4005;53060745-02;02;WHITE;K-CIRCULAR;Tops;Tops
4006;51073736-99;99;GREY;P-PLANA;Outerwear;Coats
4007;53085748-PL;PL;GREY;P-PLANA;Outerwear;Puffer coats
4008;53025741-35;35;BROWN;T-TRICOT;Tops;Sweater
4009;53015753-05;05;WHITE;T-TRICOT;Tops;Sweater
4010;53005773-08;08;WHITE;T-TRICOT;Tops;Sweater
4011;57055916-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4012;57034753-70;70;RED;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4013;57065922-99;99;GREY;P-PLANA;Tops;Shirt
4014;57014380-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4015;57045920-09;09;WHITE;T-TRICOT;Tops;Sweater
4016;57017887-49;49;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4017;57088254-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4018;47073254-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
4019;47025146-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4020;57050245-20;20;ORANGE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4021;57010289-01;01;WHITE;J-JEANS;Dresses, jumpsuits and Complete set;Jumpsuit
4022;57050414-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4023;57052882-46;46;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4024;57084008-56;56;BLUE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4025;57044406-05;05;WHITE;O-POLIPIEL;Bottoms;Shorts
4026;57005804-70;70;RED;T-TRICOT;Tops;Sweater
4027;57055797-99;99;GREY;K-CIRCULAR;Tops;Tops
4028;57085984-37;37;BROWN;K-CIRCULAR;Tops;T-shirt
4029;57096014-92;92;GREY;P-PLANA;Outerwear;Blazers
4030;57099087-08;08;WHITE;P-PLANA;Bottoms;Trousers
4031;57088277-02;02;WHITE;P-PLANA;Outerwear;Coats
4032;57059110-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4033;57005156-08;08;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4034;43015024-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4035;53030688-43;43;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4036;53030667-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4037;53070824-99;99;GREY;K-CIRCULAR;Bottoms;Skirts
4038;51093738-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4039;53063764-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4040;53055736-30;30;BROWN;P-PLANA;Bottoms;Skirts
4041;53075735-32;32;BROWN;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4042;51031081-85;85;PINK;K-CIRCULAR;Tops;T-shirt
4043;57003650-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
4044;53113784-09;09;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4045;57084382-52;52;BLUE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4046;57075936-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4047;57025785-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
4048;57006309-01;01;WHITE;P-PLANA;Tops;Shirt
4049;47076304-01;01;WHITE;J-JEANS;Bottoms;Jeans
4050;57020264-70;70;RED;T-TRICOT;Tops;Sweater
4051;57050282-05;05;WHITE;P-PLANA;Tops;Tops
4052;57055138-99;99;GREY;P-PLANA;Bottoms;Skirts
4053;57066713-92;92;GREY;K-CIRCULAR;Outerwear;Blazers
4054;57093810-08;08;WHITE;T-TRICOT;Bottoms;Skirts
4055;57023799-99;99;GREY;T-TRICOT;Tops;Sweater
4056;57034782-85;85;PINK;P-PLANA;Tops;Shirt
4057;57087730-91;91;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
4058;67000260-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4059;57027735-30;30;BROWN;T-TRICOT;Bottoms;Skirts
4060;57048268-65;65;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4061;57057743-76;76;RED;P-PLANA;Accesories, Swim and Intimate;Intimate
4062;57057744-43;43;GREEN;P-PLANA;Accesories, Swim and Intimate;Intimate
4063;57099093-88;88;PINK;P-PLANA;Tops;Tops
4064;53020578-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
4065;53090588-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4066;53060522-85;85;PINK;T-TRICOT;Tops;Tops
4067;53030684-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4068;53070773-01;01;WHITE;P-PLANA;Tops;Shirt
4069;53050625-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4070;53003754-92;92;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4071;53013752-79;79;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
4072;51003051-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4073;51031021-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4074;53049069-30;30;BROWN;P-PLANA;Outerwear;Coats
4075;53011108-99;99;GREY;T-TRICOT;Tops;Sweater
4076;57003650-52;52;BLUE;K-CIRCULAR;Tops;T-shirt
4077;57075916-43;43;GREEN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Jumpsuit
4078;57097685-70;70;RED;T-TRICOT;Tops;Sweater
4079;57009027-02;02;WHITE;P-PLANA;Bottoms;Trousers
4080;57015926-56;56;BLUE;T-TRICOT;Tops;Sweater
4081;57017699-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4082;57009044-99;99;GREY;P-PLANA;Tops;Shirt
4083;57019215-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4084;67060603-TN;TN;GREY;J-JEANS;Bottoms;Jeans
4085;47002528-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4086;47024760-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4087;47024419-15;15;YELLOW;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4088;47035844-02;02;WHITE;J-JEANS;Bottoms;Jeans
4089;57030258-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
4090;57000359-01;01;WHITE;J-JEANS;Bottoms;Jeans
4091;57095785-94;94;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4092;57000422-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4093;57093795-50;50;BLUE;P-PLANA;Outerwear;Blazers
4094;57002892-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4095;57043802-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
4096;57015796-37;37;BROWN;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
4097;57081179-99;99;GREY;P-PLANA;Bottoms;Trousers
4098;57048267-09;09;WHITE;P-PLANA;Bottoms;Trousers
4099;57036032-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4100;53063023-92;92;GREY;P-PLANA;Tops;Tops
4101;53090586-02;02;WHITE;P-PLANA;Tops;Shirt
4102;53090616-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
4103;51000636-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4104;51003031-01;01;WHITE;P-PLANA;Tops;Shirt
4105;53033715-99;99;GREY;P-PLANA;Tops;Shirt
4106;53030665-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
4107;53083033-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
4108;51050933-05;05;WHITE;P-PLANA;Bottoms;Trousers
4109;53023044-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4110;51075014-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4111;53035715-06;06;WHITE;T-TRICOT;Tops;Sweater
4112;53050987-01;01;WHITE;T-TRICOT;Tops;Sweater
4113;53061011-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
4114;51035023-05;05;WHITE;J-JEANS;Tops;Shirt
4115;53017682-08;08;WHITE;P-PLANA;Outerwear;Puffer coats
4116;53085768-30;30;BROWN;K-CIRCULAR;Bottoms;Trousers
4117;51055776-92;92;GREY;P-PLANA;Tops;Shirt
4118;57005931-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4119;57044754-99;99;GREY;T-TRICOT;Bottoms;Skirts
4120;57014005-37;37;BROWN;P-PLANA;Tops;Shirt
4121;57065932-99;99;GREY;P-PLANA;Outerwear;Jackets
4122;57000033-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4123;57010632-56;56;BLUE;P-PLANA;Bottoms;Shorts
4124;57022511-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4125;57062504-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
4126;57012001-85;85;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4127;57050184-43;43;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4128;57040460-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4129;57094404-65;65;PURPLE;T-TRICOT;Tops;Sweater
4130;57003814-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
4131;57015968-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
4132;57083805-02;02;WHITE;P-PLANA;Tops;Shirt
4133;57073812-95;95;GREY;K-CIRCULAR;Tops;T-shirt
4134;57087708-99;99;GREY;P-PLANA;Outerwear;Puffer coats
4135;57095989-17;17;YELLOW;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4136;57053814-70;70;RED;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
4137;57048271-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4138;57047743-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4139;57095809-95;95;GREY;K-CIRCULAR;Tops;T-shirt
4140;57025813-05;05;WHITE;K-CIRCULAR;Tops;T-shirt
4141;53080575-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4142;51040588-02;02;WHITE;P-PLANA;Bottoms;Skirts
4143;53070616-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4144;53050602-TM;TM;BLUE;J-JEANS;Bottoms;Shorts
4145;51033705-99;99;GREY;P-PLANA;Bottoms;Trousers
4146;53030662-99;99;GREY;K-CIRCULAR;Tops;Tops
4147;51050756-07;07;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4148;53000843-43;43;GREEN;K-CIRCULAR;Tops;T-shirt
4149;53050867-56;56;BLUE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4150;51063733-49;49;GREEN;P-PLANA;Bottoms;Trousers
4151;51023740-43;43;GREEN;K-CIRCULAR;Tops;T-shirt
4152;53080681-37;37;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4153;53000578-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
4154;53033780-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4155;53005768-99;99;GREY;T-TRICOT;Tops;Sweater
4156;53055031-99;99;GREY;P-PLANA;Tops;Shirt
4157;53055036-99;99;GREY;T-TRICOT;Tops;Sweater
4158;53010573-37;37;BROWN;J-JEANS;Bottoms;Jeans
4159;57015932-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4160;57034754-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
4161;57006303-05;05;WHITE;P-PLANA;Tops;Shirt
4162;57047656-99;99;GREY;P-PLANA;Bottoms;Skirts
4163;57017692-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4164;57065935-95;95;GREY;K-CIRCULAR;Tops;Sweatshirts
4165;57059211-81;81;PINK;K-CIRCULAR;Bottoms;Trousers
4166;57059210-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4167;67080550-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4168;57097699-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
4169;57058631-99;99;GREY;P-PLANA;Tops;Shirt
4170;47005939-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4171;47034428-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4172;57062511-50;50;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
4173;47018650-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4174;47049204-06;06;WHITE;P-PLANA;Bottoms;Skirts
4175;47077885-TN;TN;GREY;J-JEANS;Bottoms;Skirts
4176;57034016-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
4177;57043811-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4178;57034036-99;99;GREY;K-CIRCULAR;Tops;T-shirt
4179;57015802-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4180;57035794-56;56;BLUE;T-TRICOT;Tops;Sweater
4181;57005825-85;85;PINK;T-TRICOT;Tops;Sweater
4182;57007754-99;99;GREY;T-TRICOT;Tops;Sweater
4183;57025812-30;30;BROWN;P-PLANA;Tops;Shirt
4184;57007770-68;68;PURPLE;T-TRICOT;Tops;Sweater
4185;57017756-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
4186;57057761-99;99;GREY;K-CIRCULAR;Accesories, Swim and Intimate;Intimate
4187;43065748-02;02;WHITE;P-PLANA;Tops;Shirt
4188;41069069-80;80;PINK;P-PLANA;Tops;Shirt
4189;53030619-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4190;53070609-99;99;GREY;P-PLANA;Tops;Tops
4191;51030644-02;02;WHITE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4192;53000620-70;70;RED;K-CIRCULAR;Tops;Tops
4193;53060821-TN;TN;GREY;J-JEANS;Bottoms;Skirts
4194;51041120-99;99;GREY;P-PLANA;Bottoms;Trousers
4195;51065030-05;05;WHITE;P-PLANA;Bottoms;Trousers
4196;53075765-11;11;YELLOW;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4197;53041167-37;37;BROWN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4198;57005911-94;94;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4199;57027883-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4200;57019212-30;30;BROWN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4201;57039037-95;95;GREY;K-CIRCULAR;Tops;Sweater
4202;57090025-99;99;GREY;P-PLANA;Tops;Shirt
4203;57010644-70;70;RED;K-CIRCULAR;Tops;T-shirt
4204;47029028-88;88;PINK;P-PLANA;Bottoms;Shorts
4205;57010263-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
4206;57035959-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
4207;57050475-01;01;WHITE;J-JEANS;Bottoms;Jeans
4208;57040463-52;52;BLUE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4209;57002535-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4210;57005970-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
4211;57025798-05;05;WHITE;K-CIRCULAR;Tops;Sweatshirts
4212;57031179-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4213;57014427-78;78;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4214;57087706-99;99;GREY;J-JEANS;Dresses, jumpsuits and Complete set;Jumpsuit
4215;57095147-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
4216;57065149-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4217;57003826-05;05;WHITE;P-PLANA;Tops;Shirt
4218;57087742-76;76;RED;P-PLANA;Accesories, Swim and Intimate;Intimate
4219;57095808-01;01;WHITE;P-PLANA;Tops;Shirt
4220;57066025-94;94;GREY;P-PLANA;Outerwear;Blazers
4221;57088275-92;92;GREY;K-CIRCULAR;Tops;Tops
4222;43003753-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4223;43065018-TC;TC;BLUE;J-JEANS;Bottoms;Jeans
4224;43063762-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4225;53030605-02;02;WHITE;P-PLANA;Tops;Shirt
4226;53070542-85;85;PINK;T-TRICOT;Tops;Sweater
4227;53070602-TN;TN;GREY;J-JEANS;Outerwear;Jackets
4228;53070658-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4229;51060677-37;37;BROWN;P-PLANA;Bottoms;Skirts
4230;53003729-99;99;GREY;T-TRICOT;Tops;Sweater
4231;51060897-TM;TM;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
4232;51093029-56;56;BLUE;P-PLANA;Bottoms;Skirts
4233;53023714-70;70;RED;T-TRICOT;Tops;Sweater
4234;51073736-05;05;WHITE;P-PLANA;Outerwear;Coats
4235;53060975-99;99;GREY;P-PLANA;Tops;Tops
4236;53051043-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
4237;53033771-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4238;53011121-70;70;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4239;51035029-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4240;53043053-99;99;GREY;K-CIRCULAR;Tops;Tops
4241;53015780-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4242;53103802-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4243;57055920-78;78;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4244;57017687-11;11;YELLOW;T-TRICOT;Tops;Sweater
4245;53005780-15;15;YELLOW;K-CIRCULAR;Tops;T-shirt
4246;57017689-43;43;GREEN;P-PLANA;Bottoms;Trousers
4247;57087887-70;70;RED;T-TRICOT;Tops;Sweater
4248;57007897-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
4249;57097695-70;70;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4250;57050004-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
4251;47054030-99;99;GREY;P-PLANA;Bottoms;Trousers
4252;47087123-05;05;WHITE;P-PLANA;Tops;Shirt
4253;47085960-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4254;57067702-99;99;GREY;P-PLANA;Outerwear;Puffer coats
4255;57000244-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4256;57010257-01;01;WHITE;T-TRICOT;Tops;Tops
4257;57001503-80;80;PINK;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4258;57006719-05;05;WHITE;P-PLANA;Outerwear;Coats
4259;57082885-05;05;WHITE;K-CIRCULAR;Tops;T-shirt
4260;57064016-01;01;WHITE;P-PLANA;Outerwear;Blazers
4261;57050482-43;43;GREEN;K-CIRCULAR;Tops;Tops
4262;57052003-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4263;57075982-08;08;WHITE;P-PLANA;Outerwear;Jackets
4264;57005992-01;01;WHITE;P-PLANA;Tops;Shirt
4265;57005805-09;09;WHITE;T-TRICOT;Tops;Sweater
4266;57063813-TM;TM;BLUE;J-JEANS;Outerwear;Jackets
4267;57071177-52;52;BLUE;P-PLANA;Bottoms;Trousers
4268;57014431-02;02;WHITE;P-PLANA;Accesories, Swim and Intimate;Intimate
4269;57097725-52;52;BLUE;P-PLANA;Bottoms;Skirts
4270;57065149-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4271;57089083-99;99;GREY;T-TRICOT;Tops;Cardigans
4272;57085801-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Intimate
4273;57029098-99;99;GREY;K-CIRCULAR;Bottoms;Skirts
4274;57067760-92;92;GREY;P-PLANA;Outerwear;Blazers
4275;53050518-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4276;53060576-92;92;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
4277;51060621-30;30;BROWN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4278;51070638-02;02;WHITE;K-CIRCULAR;Tops;Tops
4279;53060641-99;99;GREY;T-TRICOT;Tops;Cardigans
4280;53090667-28;28;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
4281;53030757-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4282;43058831-01;01;WHITE;P-PLANA;Bottoms;Trousers
4283;53080809-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4284;53050873-TN;TN;GREY;J-JEANS;Bottoms;Skirts
4285;53023716-49;49;GREEN;T-TRICOT;Tops;Sweater
4286;53070966-94;94;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
4287;51005750-99;99;GREY;P-PLANA;Bottoms;Trousers
4288;51091106-12;12;YELLOW;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4289;51005040-52;52;BLUE;P-PLANA;Tops;Shirt
4290;53063792-99;99;GREY;P-PLANA;Tops;Tops
4291;53003799-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
4292;57005936-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
4293;53103700-TN;TN;GREY;J-JEANS;Bottoms;Jeans
4294;57074753-92;92;GREY;P-PLANA;Bottoms;Skirts
4295;57035933-70;70;RED;P-PLANA;Tops;Shirt
4296;57038629-99;99;GREY;L-PIEL;Bottoms;Shorts
4297;57025942-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
4298;57019216-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
